x_from_throat_mm,inner_radius_mm
0.000,18.000
0.446,18.050
1.259,18.143
2.304,18.262
3.534,18.403
4.917,18.564
6.433,18.741
8.064,18.933
9.798,19.140
11.622,19.361
13.529,19.594
15.509,19.839
17.554,20.095
19.659,20.362
21.816,20.640
24.022,20.928
26.269,21.226
28.555,21.533
30.875,21.849
33.224,22.174
35.600,22.508
37.999,22.850
40.418,23.201
42.855,23.560
45.306,23.926
47.770,24.300
50.243,24.682
52.725,25.071
55.213,25.468
57.705,25.871
60.199,26.282
62.695,26.699
65.191,27.124
67.686,27.555
70.177,27.992
72.665,28.436
75.148,28.887
77.625,29.344
80.095,29.807
82.558,30.276
85.013,30.751
87.459,31.232
89.895,31.719
92.321,32.212
94.737,32.711
97.141,33.215
99.534,33.725
101.914,34.240
104.283,34.761
106.638,35.288
108.981,35.820
111.310,36.357
113.626,36.900
115.927,37.448
118.215,38.001
120.489,38.559
122.748,39.122
124.993,39.690
127.223,40.263
129.438,40.842
131.638,41.425
133.824,42.013
135.994,42.606
138.150,43.204
140.290,43.806
142.415,44.413
144.525,45.025
146.620,45.642
148.699,46.263
150.764,46.888
152.813,47.519
154.847,48.154
156.866,48.793
158.869,49.437
160.858,50.085
162.831,50.737
164.789,51.394
166.732,52.055
168.661,52.721
170.574,53.391
172.472,54.065
174.356,54.743
176.224,55.426
178.078,56.113
179.918,56.803
181.742,57.498
183.552,58.197
185.348,58.901
187.129,59.608
188.895,60.319
190.648,61.034
192.386,61.753
194.110,62.477
195.819,63.204
197.515,63.935
199.196,64.670
200.864,65.409
202.518,66.151
204.158,66.898
205.784,67.648
207.396,68.402
208.995,69.160
210.580,69.922
212.151,70.687
213.709,71.456
215.254,72.229
216.785,73.006
218.304,73.786
219.808,74.570
221.300,75.357
222.778,76.149
224.244,76.943
225.696,77.742
227.135,78.544
228.562,79.349
229.975,80.158
231.376,80.971
232.764,81.787
234.139,82.606
235.502,83.429
236.851,84.256
238.189,85.085
239.513,85.919
240.825,86.756
242.125,87.596
243.412,88.439
244.686,89.286
245.948,90.137
247.198,90.990
248.436,91.847
249.661,92.708
250.873,93.571
252.074,94.438
253.262,95.309
254.438,96.182
255.602,97.059
256.753,97.939
257.892,98.822
259.019,99.709
260.134,100.599
261.237,101.492
262.327,102.388
263.406,103.287
264.472,104.190
265.526,105.095
266.568,106.004
267.597,106.916
268.615,107.831
269.620,108.749
270.613,109.671
271.593,110.595
272.562,111.522
273.518,112.453
274.461,113.387
275.393,114.323
276.312,115.263
277.218,116.206
278.112,117.152
278.994,118.100
279.863,119.052
280.719,120.007
281.563,120.965
282.394,121.926
283.212,122.889
284.017,123.856
284.809,124.826
285.588,125.798
286.354,126.774
287.107,127.752
287.846,128.734
288.572,129.718
289.284,130.705
289.983,131.695
290.667,132.688
291.338,133.684
291.994,134.683
292.636,135.685
293.263,136.689
293.875,137.696
294.473,138.706
295.055,139.719
295.621,140.735
296.172,141.754
296.706,142.775
297.224,143.799
297.725,144.826
298.208,145.856
298.673,146.888
299.120,147.923
299.548,148.961
299.956,150.002
300.344,151.046
300.709,152.092
301.052,153.141
301.370,154.192
301.663,155.247
301.927,156.304
302.159,157.364
302.354,158.426
302.505,159.491
302.588,160.559
